index,cge_p1000852,cge_p1000850,cge_p1000857,cge_p1000854,cge_p524,cge_p1000866,cge_p1000840,cge_p1000860,cge_p507,cge_p1000864,cge_p1000844,cge_p1000862,cge_p1000842,cge_p1000848,cge_p504,cge_p515,cge_p509,cge_p540,cge_p510,cge_p1000859,iag_cientec
2015-04-07,15.4995,15.830333333333336,14.299833333333336,15.862333333333336,14.420333333333335,15.785166666666667,15.229333333333333,15.6995,13.896666666666668,14.917333333333332,12.484833333333334,15.608833333333335,15.261333333333333,16.026500000000002,15.470999999999998,15.5315,15.257833333333332,14.851666666666665,15.603833333333334,14.690666666666667,15.0
2015-04-08,14.314666666666666,14.603500000000002,11.142166666666665,14.583166666666665,13.7625,15.076666666666668,14.101666666666668,15.056833333333335,11.716333333333333,13.837833333333334,11.744666666666665,14.515999999999998,13.857833333333332,15.264666666666665,14.304666666666668,14.643499999999998,14.5445,14.316333333333333,15.038000000000002,14.041166666666667,13.0
2015-04-09,16.099,16.2315,13.8295,16.226499999999998,15.305166666666665,16.782166666666665,15.801833333333333,16.753666666666668,13.8145,15.72466666666667,13.958999999999998,15.961333333333334,15.823833333333333,16.97683333333333,15.05816666666667,16.112333333333332,15.773333333333332,15.627500000000005,16.412833333333335,15.900666666666664,15.4
2015-04-10,16.644833333333334,16.8325,13.346166666666667,17.2385,15.988166666666665,17.579333333333334,16.089166666666667,17.257166666666667,14.857000000000001,15.205833333333333,13.678333333333335,16.552166666666665,15.968000000000002,17.910166666666665,15.283166666666668,17.173166666666663,16.955166666666667,16.585666666666665,17.403166666666667,15.864000000000004,15.7
2015-04-11,16.610833333333336,16.8105,14.030999999999999,17.339333333333332,16.3895,18.25916666666668,16.473333333333333,17.918500000000005,15.4175,16.198,14.5565,17.592833333333328,16.4985,18.615,15.409,18.2005,18.083,17.438333333333333,18.10483333333333,16.676333333333332,-9999.0
2015-04-12,16.7685,16.711666666666662,15.462666666666665,16.797166666666666,16.209666666666667,17.044166666666666,16.275333333333332,17.29083333333333,15.338666666666667,15.731166666666667,14.2325,16.7805,14.939,17.713666666666665,14.324833333333334,15.108833333333333,16.58216666666667,16.538666666666668,17.037166666666668,16.558833333333332,-9999.0
2015-04-13,17.525666666666666,17.675166666666673,15.836833333333333,17.3025,17.174666666666667,18.507500000000004,17.576,18.437166666666666,15.2665,16.839166666666667,15.220999999999998,17.755666666666666,16.928166666666666,18.507666666666665,17.512166666666666,18.521166666666673,18.099666666666668,17.475333333333335,18.499166666666667,17.319166666666664,16.9
2015-04-14,17.737166666666667,17.6365,15.857333333333335,18.173833333333327,17.4265,18.783,17.863333333333333,18.568166666666666,15.959666666666665,17.837833333333332,16.464833333333335,18.279333333333334,17.205333333333332,18.904,17.258666666666667,18.480833333333333,18.71433333333333,18.027666666666665,18.668666666666667,17.8095,17.1
2015-04-15,18.234,17.6885,13.648166666666668,18.296166666666668,17.958833333333335,18.994666666666664,18.4035,18.761166666666664,14.589999999999998,18.615,16.837666666666667,18.578333333333337,17.007,19.01133333333333,17.185000000000002,17.616333333333333,18.000666666666664,18.338,18.924166666666665,18.45083333333333,16.9
2015-04-16,18.588333333333328,18.2995,15.721333333333336,18.768,17.674833333333332,19.002833333333328,18.611833333333333,18.7695,16.839166666666667,18.165166666666668,16.918166666666664,18.042666666666666,17.331166666666665,18.110000000000007,16.840833333333332,18.068,18.222333333333328,18.05283333333333,18.512833333333333,18.329666666666668,18.2
